Rk,Squad,# Pl,90s,Att,Pass Types: Live,Pass Types: Dead,Pass Types: FK,Pass Types: TB,Pass Types: Press,Pass Types: Sw,Pass Types: Crs,Pass Types: CK,Corner Kicks: In,Corner Kicks: Out,Corner Kicks: Str,Height: Ground,Height: Low,Height: High,Body Parts: Left,Body Parts: Right,Body Parts: Head,Body Parts: TI,Body Parts: Other,Outcomes: Cmp,Outcomes: Off,Outcomes: Out,Outcomes: Int,Outcomes: Blocks,League,Season,TeamID
75,Rennes,26,28.0,13053,11646,1407,403,22,2284,433,295,124,53,44,15,8216,2010,2827,4346,7031,512,628,194,10454,36,218,215,324,Ligue 1,2019-2020,96819424452761337
76,Roma,31,38.0,19367,17576,1791,527,61,3043,634,492,265,60,137,26,13431,2607,3329,4963,12579,525,662,295,16108,36,285,246,449,Serie A,2019-2020,764736481564168
77,Saint-Étienne,31,28.0,13003,11534,1469,371,17,2301,455,349,140,72,38,20,7961,2231,2811,3682,7594,537,675,148,10086,36,299,240,322,Ligue 1,2019-2020,56226069621228236
78,Sampdoria,31,38.0,15816,13919,1897,558,19,2587,527,521,195,82,70,10,9200,2640,3976,5767,7989,683,734,238,12022,47,279,242,433,Serie A,2019-2020,89407679695143145
79,Sassuolo,31,38.0,21783,19918,1865,620,64,3342,458,321,207,100,67,20,16337,2732,2714,7143,13036,421,675,274,18697,58,305,311,430,Serie A,2019-2020,79200252522790650
80,Schalke 04,29,34.0,15680,13921,1759,447,35,2776,404,303,152,12,101,16,9390,2531,3759,4187,9435,631,802,208,12189,77,314,242,454,Bundesliga,2019-2020,24345039935475884
81,Sevilla,26,38.0,21508,19538,1970,552,46,2923,952,634,229,68,86,6,13919,3382,4207,4827,14267,827,835,291,17667,78,414,253,526,La Liga,2019-2020,22702270477938803
82,Sheffield Utd,26,38.0,16407,14595,1812,374,22,3094,626,528,212,142,29,15,8796,2923,4688,5108,8606,953,880,185,12052,72,448,204,498,Premier League,2019-2020,93216768512646707
83,Southampton,25,38.0,16900,14943,1957,448,40,3214,479,427,209,89,84,26,9389,2865,4646,3119,10989,1043,947,213,12482,51,404,247,441,Premier League,2019-2020,21037626007536306
84,SPAL,34,38.0,16904,14978,1926,603,19,2709,421,468,158,61,61,11,10446,2667,3791,4544,10287,698,697,299,13452,42,310,166,447,Serie A,2019-2020,73622612860183040
85,Strasbourg,25,27.0,12757,11432,1325,342,16,2372,566,380,128,44,57,7,7957,1994,2806,3514,7663,439,595,194,10203,28,239,190,304,Ligue 1,2019-2020,92234479374253707
86,Torino,27,38.0,16200,14238,1962,614,22,2492,647,585,179,48,36,10,9838,2336,4026,3238,10955,604,707,190,12628,56,330,238,438,Serie A,2019-2020,21846272194836439
87,Tottenham,29,38.0,19704,17883,1821,464,48,3313,496,387,199,92,52,24,13099,2949,3656,5408,12079,739,784,225,15794,62,266,314,488,Premier League,2019-2020,22006624071753704
88,Toulouse,30,28.0,12237,10820,1417,342,14,2211,278,346,123,38,63,15,7650,1947,2640,2696,8050,439,581,165,9433,27,237,229,290,Ligue 1,2019-2020,94523000561782573
89,Udinese,25,38.0,17002,15220,1782,474,22,2469,537,512,198,76,48,5,11023,2528,3451,5046,10119,548,664,278,13535,57,271,227,436,Serie A,2019-2020,48393495896639342
90,Union Berlin,26,34.0,13395,11649,1746,446,16,2662,292,388,137,67,55,8,6384,2834,4177,3291,7426,943,796,264,9503,59,386,215,464,Bundesliga,2019-2020,71630543971501382
91,Valencia,28,38.0,18059,16180,1879,595,24,2741,651,485,169,49,74,13,11646,2641,3772,4544,11484,648,687,322,14565,90,370,236,373,La Liga,2019-2020,65158650443085242
92,Valladolid,30,38.0,15246,13252,1994,582,28,2566,601,450,161,53,51,16,8442,2604,4200,4257,8683,814,804,230,11236,67,405,197,425,La Liga,2019-2020,44089518275887893
93,Villarreal,25,38.0,19925,18049,1876,511,47,2792,747,467,147,40,58,12,12949,3052,3924,7290,10444,761,804,277,16361,65,336,247,425,La Liga,2019-2020,63335634096533483
94,Watford,26,38.0,15407,13605,1802,405,30,2720,493,488,167,68,50,25,8171,2848,4388,3828,9042,861,835,208,11208,62,299,247,428,Premier League,2019-2020,73743918793554398
95,Werder Bremen,30,34.0,16581,14729,1852,535,19,2975,469,386,159,70,63,15,10034,2793,3754,4628,9879,686,747,261,12979,50,288,229,495,Bundesliga,2019-2020,59303898890876434
96,West Ham,29,38.0,16488,14651,1837,439,35,3153,501,470,190,94,53,25,9317,2744,4427,4629,9427,769,816,223,12388,56,308,250,533,Premier League,2019-2020,57680956417459581
97,Wolfsburg,26,34.0,15547,13734,1813,450,32,2670,513,417,166,35,80,15,8733,2915,3899,5568,7511,834,878,265,11716,65,312,272,499,Bundesliga,2019-2020,85159484018358879
98,Wolves,21,38.0,17895,16118,1777,403,34,3044,705,476,193,41,83,12,10117,3312,4466,3843,11601,863,821,237,14072,45,328,255,470,Premier League,2019-2020,24001928852251903
1,Alavés,26,38.0,13919,11967,1952,585,13,2116,433,507,145,27,25,5,7233,2154,4532,4582,6759,1034,805,182,9814,48,388,253,417,La Liga,2018-2019,37745278530914180
2,Amiens,26,38.0,16181,14162,2019,565,20,2690,439,387,138,7,15,4,9815,2235,4131,4139,9528,922,908,175,12031,54,401,268,442,Ligue 1,2018-2019,20069478421376018
3,Angers,24,38.0,16742,14910,1832,494,43,2910,396,367,165,18,29,4,11036,2035,3671,4874,9642,813,795,245,13020,44,300,259,408,Ligue 1,2018-2019,66587352409382849
4,Arsenal,28,38.0,22178,20240,1938,540,76,3240,580,473,210,32,56,7,16124,2800,3254,6548,13411,779,821,304,18313,77,330,538,541,Premier League,2018-2019,5838645288327307
5,Atalanta,27,38.0,22052,20093,1959,565,64,3441,613,500,241,35,24,17,15984,2678,3390,6438,13412,821,810,245,18178,62,324,371,501,Serie A,2018-2019,87465877057901989
6,Athletic Club,27,38.0,17393,15493,1900,567,29,2768,554,524,154,10,19,4,10169,2749,4475,3923,10806,1071,833,208,13267,68,406,287,452,La Liga,2018-2019,4823083458145023
7,Atlético Madrid,29,38.0,19034,17293,1741,453,58,3353,443,396,215,16,24,11,12563,2625,3846,6140,10582,931,716,206,15143,69,283,370,463,La Liga,2018-2019,74713976168286555
8,Augsburg,30,34.0,15094,13433,1661,402,21,2776,488,396,147,8,25,1,8855,2199,4040,3879,8795,1058,743,239,11138,76,388,262,456,Bundesliga,2018-2019,82828683183786310
9,Barcelona,30,38.0,26734,25016,1718,568,117,4148,583,380,202,35,23,4,21255,2663,2816,9059,15803,682,652,327,23464,93,233,465,477,La Liga,2018-2019,81744823723090567
10,Bayern Munich,24,34.0,23861,22275,1586,379,68,3773,810,594,285,25,36,20,17820,2404,3637,6288,15522,839,700,264,20506,81,297,304,453,Bundesliga,2018-2019,7510926916741648
