Rk,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,League,Season,TeamID
9,Augsburg,25,34.0,493,14.5,328,55,38,19,37,16,52,1.53,34,4,3,4,5,2,Bundesliga,2020-2021,82828683183786310
10,Barcelona,25,38.0,1011,26.61,786,45,71,32,64,13,125,3.29,96,1,11,9,6,2,La Liga,2020-2021,81744823723090567
11,Bayern Munich,29,34.0,940,27.65,739,64,60,40,26,11,167,4.91,129,8,14,8,8,0,Bundesliga,2020-2021,7510926916741648
12,Benevento,29,38.0,621,16.34,444,63,30,35,34,15,61,1.61,39,7,3,4,5,3,Serie A,2020-2021,38159059008947812
13,Betis,25,38.0,725,19.08,526,61,53,32,40,13,81,2.13,53,9,6,5,8,0,La Liga,2020-2021,9423348454032625
14,Bologna,37,38.0,787,20.71,576,64,42,42,42,21,76,2.0,57,5,1,6,4,3,Serie A,2020-2021,23275147453355121
15,Bordeaux,28,38.0,675,17.76,440,71,59,32,51,22,70,1.84,42,9,6,5,8,0,Ligue 1,2020-2021,12683680850395737
16,Brest,26,38.0,735,19.34,515,75,44,39,47,15,75,1.97,51,6,4,7,6,1,Ligue 1,2020-2021,27328509848090670
17,Brighton,27,38.0,754,19.84,559,65,33,44,36,17,60,1.58,42,5,1,5,6,1,Premier League,2020-2021,49072214318111932
18,Burnley,25,38.0,563,14.82,391,66,26,27,37,16,46,1.21,25,6,6,3,4,2,Premier League,2020-2021,21823480134907726
19,Cádiz,34,38.0,428,11.26,276,51,32,25,31,13,55,1.45,38,1,5,6,4,1,La Liga,2020-2021,1007679934589500
20,Cagliari,32,38.0,657,17.29,461,67,33,47,36,13,72,1.89,49,4,4,9,5,1,Serie A,2020-2021,32968728316179674
21,Celta Vigo,30,38.0,574,15.11,424,44,28,31,34,13,99,2.61,71,5,5,6,10,2,La Liga,2020-2021,14218303985450920
22,Chelsea,27,38.0,939,24.71,707,82,40,46,47,17,97,2.55,68,7,5,6,10,1,Premier League,2020-2021,58172670324373785
23,Crotone,31,38.0,583,15.34,414,49,47,23,33,17,73,1.92,43,6,9,4,8,3,Serie A,2020-2021,33431629624225246
24,Crystal Palace,24,38.0,546,14.37,376,51,46,17,42,14,70,1.84,45,6,7,4,6,2,Premier League,2020-2021,15352059381074619
25,Dijon,33,38.0,527,13.87,352,61,41,28,32,13,34,0.89,19,3,3,6,2,1,Ligue 1,2020-2021,59239312409540653
26,Dortmund,26,34.0,812,23.88,597,53,56,40,45,21,125,3.68,93,7,10,7,6,2,Bundesliga,2020-2021,6921931827204601
27,Eibar,30,38.0,638,16.79,401,78,54,43,40,22,44,1.16,26,3,6,5,2,2,La Liga,2020-2021,67267904110326262
28,Eint Frankfurt,25,34.0,728,21.41,523,80,31,37,40,17,117,3.44,72,12,7,11,12,3,Bundesliga,2020-2021,37929111009288632
29,Elche,30,38.0,399,10.5,265,52,23,20,32,7,51,1.34,32,5,4,4,5,1,La Liga,2020-2021,30674441257210497
30,Everton,29,38.0,645,16.97,470,66,29,28,42,10,78,2.05,52,9,2,10,5,0,Premier League,2020-2021,57482013681231466
31,Fiorentina,30,38.0,559,14.71,399,58,33,22,39,8,73,1.92,51,4,3,8,7,0,Serie A,2020-2021,24325362613855847
32,Freiburg,24,34.0,606,17.82,421,72,22,34,43,14,78,2.29,51,6,2,9,6,4,Bundesliga,2020-2021,17577284562417651
33,Fulham,28,38.0,702,18.47,515,63,47,28,32,17,47,1.24,33,3,5,2,3,1,Premier League,2020-2021,19227944656237519
34,Genoa,34,38.0,528,13.89,395,34,29,25,26,19,65,1.71,51,3,2,4,3,2,Serie A,2020-2021,87033800759594150
35,Getafe,31,38.0,569,14.97,396,59,26,28,47,13,43,1.13,27,0,5,6,3,2,La Liga,2020-2021,23789167582387071
36,Granada,34,38.0,499,13.13,325,48,35,33,42,16,68,1.79,43,3,7,6,4,5,La Liga,2020-2021,45137124328012624
37,Hellas Verona,32,38.0,625,16.45,444,69,29,26,44,13,72,1.89,53,3,5,5,6,0,Serie A,2020-2021,45227680351245381
38,Hertha BSC,32,34.0,597,17.56,412,59,43,29,38,16,66,1.94,47,3,2,6,7,1,Bundesliga,2020-2021,59737400018465050
39,Hoffenheim,30,34.0,687,20.21,515,54,36,31,40,11,90,2.65,61,5,8,7,8,1,Bundesliga,2020-2021,29322720181807625
40,Huesca,27,38.0,621,16.34,437,65,40,26,39,14,56,1.47,41,6,2,4,1,2,La Liga,2020-2021,16593090704373522
41,Inter,25,38.0,876,23.05,676,66,36,42,41,15,141,3.71,111,7,4,9,9,1,Serie A,2020-2021,53198597771575973
42,Juventus,30,38.0,1000,26.32,726,80,68,59,47,20,135,3.55,98,4,8,14,6,5,Serie A,2020-2021,19371054131726661
43,Köln,28,34.0,533,15.68,369,59,31,29,36,9,53,1.56,33,4,2,8,5,1,Bundesliga,2020-2021,39731782814123330
44,Lazio,30,38.0,850,22.37,660,47,43,45,36,19,100,2.63,71,1,7,10,8,3,Serie A,2020-2021,90751438076496109
45,Leeds United,23,38.0,812,21.37,614,64,43,43,29,19,108,2.84,79,6,8,8,6,1,Premier League,2020-2021,34570153325607342
46,Leicester City,27,38.0,762,20.05,555,44,50,37,44,32,111,2.92,79,3,8,5,11,5,Premier League,2020-2021,18776461863573874
47,Lens,27,38.0,725,19.08,507,63,52,37,47,19,96,2.53,61,8,7,6,11,3,Ligue 1,2020-2021,74951719010833888
48,Levante,29,38.0,601,15.82,456,47,31,19,31,17,78,2.05,58,4,5,3,4,4,La Liga,2020-2021,1566092639264277
49,Leverkusen,30,34.0,739,21.74,541,61,62,40,25,10,89,2.62,60,7,10,9,2,1,Bundesliga,2020-2021,36794408106212849
50,Lille,21,38.0,769,20.24,561,59,50,37,44,18,97,2.55,69,3,7,10,7,1,Ligue 1,2020-2021,85603837513355486
51,Liverpool,28,38.0,936,24.63,709,64,51,52,41,19,94,2.47,66,6,4,12,5,1,Premier League,2020-2021,41956650829873911
52,Lorient,27,38.0,653,17.18,439,58,41,39,57,19,78,2.05,45,5,4,10,12,2,Ligue 1,2020-2021,37325341301512527
53,Lyon,29,38.0,1003,26.39,714,80,69,53,57,30,138,3.63,91,6,12,9,16,4,Ligue 1,2020-2021,87005642993871754
54,M'Gladbach,23,34.0,688,20.24,485,72,34,40,39,18,100,2.94,63,9,2,12,12,2,Bundesliga,2020-2021,81611584009946193
55,Mainz 05,31,34.0,560,16.47,392,59,37,23,35,14,59,1.74,34,7,3,8,6,1,Bundesliga,2020-2021,71158960989778912
56,Manchester City,24,38.0,986,25.95,719,62,83,47,47,28,138,3.63,95,4,16,11,7,5,Premier League,2020-2021,74026506610392765
57,Manchester Utd,29,38.0,879,23.13,636,75,45,49,54,20,122,3.21,87,7,6,8,11,3,Premier League,2020-2021,29078730489839024
58,Marseille,31,38.0,612,16.11,430,62,30,26,47,17,92,2.42,60,10,4,4,11,3,Ligue 1,2020-2021,66190039714113630
59,Metz,27,38.0,685,18.03,461,67,44,31,62,20,72,1.89,47,2,7,5,8,3,Ligue 1,2020-2021,14635757597311544
60,Milan,29,38.0,898,23.63,630,82,49,55,67,15,128,3.37,82,10,7,9,16,4,Serie A,2020-2021,59378513948613436
61,Monaco,30,38.0,783,20.61,557,86,37,42,43,18,124,3.26,83,8,8,5,14,6,Ligue 1,2020-2021,79093238158793616
62,Montpellier,25,38.0,716,18.84,468,81,42,49,56,20,100,2.63,67,7,6,12,7,1,Ligue 1,2020-2021,32434714471076965
63,Nantes,25,38.0,627,16.5,429,60,49,29,41,19,69,1.82,42,3,11,6,7,0,Ligue 1,2020-2021,25802633648495862
64,Napoli,25,38.0,1050,27.63,771,62,72,57,53,35,138,3.63,86,6,18,11,14,3,Serie A,2020-2021,10516137814401134
65,Newcastle Utd,27,38.0,607,15.97,396,78,40,22,52,19,68,1.79,45,5,4,6,7,1,Premier League,2020-2021,29528772732587842
66,Nice,31,38.0,621,16.34,418,56,53,32,40,22,67,1.76,35,4,8,7,9,4,Ligue 1,2020-2021,11720969662561653
67,Nîmes,33,38.0,565,14.87,382,62,41,25,38,17,59,1.55,43,1,5,3,7,0,Ligue 1,2020-2021,83514802313158576
68,Osasuna,28,38.0,535,14.08,381,55,27,29,27,16,56,1.47,39,4,1,6,3,3,La Liga,2020-2021,83352675823776457
69,Paris S-G,33,38.0,918,24.16,666,64,61,46,61,20,135,3.55,88,6,14,9,13,5,Ligue 1,2020-2021,11177590892093073
70,Parma,42,38.0,628,16.53,449,58,44,30,35,12,67,1.76,50,3,5,3,6,0,Serie A,2020-2021,62695319081093388
71,RB Leipzig,25,34.0,890,26.18,672,64,37,53,46,18,100,2.94,67,4,8,9,8,4,Bundesliga,2020-2021,68159208261559796
72,Real Madrid,30,38.0,924,24.32,694,77,56,44,35,18,112,2.95,85,6,8,7,4,2,La Liga,2020-2021,29627131003986350
73,Real Sociedad,30,38.0,685,18.03,481,68,33,47,44,12,100,2.63,69,7,4,11,7,2,La Liga,2020-2021,57299950304530590
74,Reims,29,38.0,577,15.18,437,39,38,24,25,14,61,1.61,32,7,4,10,4,4,Ligue 1,2020-2021,67732085073987538
75,Rennes,32,38.0,809,21.29,574,79,46,43,53,14,79,2.08,52,9,8,3,6,1,Ligue 1,2020-2021,96819424452761337
76,Roma,31,38.0,866,22.79,628,67,49,59,34,29,116,3.05,83,9,8,7,7,2,Serie A,2020-2021,764736481564168
77,Saint-Étienne,40,38.0,703,18.5,441,98,56,38,47,23,64,1.68,34,8,7,8,4,3,Ligue 1,2020-2021,56226069621228236
78,Sampdoria,27,38.0,637,16.76,446,64,27,42,36,22,82,2.16,52,7,7,9,4,3,Serie A,2020-2021,89407679695143145
79,Sassuolo,28,38.0,857,22.55,640,57,52,37,54,17,99,2.61,65,6,5,7,15,1,Serie A,2020-2021,79200252522790650
80,Schalke 04,42,34.0,467,13.74,307,62,24,29,34,11,42,1.24,30,4,2,2,2,2,Bundesliga,2020-2021,24345039935475884
81,Sevilla,26,38.0,791,20.82,604,57,53,29,32,16,85,2.24,63,4,7,5,4,2,La Liga,2020-2021,22702270477938803
82,Sheffield Utd,27,38.0,497,13.08,376,41,30,23,16,11,25,0.66,15,2,2,3,3,0,Premier League,2020-2021,93216768512646707
83,Southampton,29,38.0,632,16.63,439,55,44,31,45,18,80,2.11,47,7,7,7,9,3,Premier League,2020-2021,21037626007536306
