Rk,Squad,# Pl,90s,Goals GA,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att,Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist,League,Season,TeamID
57,Manchester City,2,10.0,6,1,0,0,0,5.1,0.24,-0.9,-0.09,40,75,53.3,257,55,24.1,29.9,47,27.7,33.3,53,4,7.5,15,1.5,17.2,Premier League,2021-2022,74026506610392765
58,Manchester Utd,1,10.0,15,0,0,2,1,15.3,0.37,1.3,0.13,34,65,52.3,152,31,23.7,30.3,77,37.7,35.4,75,4,5.3,2,0.2,13.4,Premier League,2021-2022,29078730489839024
59,Marseille,2,12.0,12,2,0,3,1,10.5,0.25,-0.5,-0.04,50,109,45.9,330,44,26.1,29.3,85,27.1,30.8,71,7,9.9,7,0.58,15.4,Ligue 1,2021-2022,66190039714113630
60,Metz,2,12.0,27,2,0,2,2,21.4,0.36,-3.6,-0.3,95,226,42.0,252,70,57.5,46.4,94,86.2,61.1,104,18,17.3,12,1.0,15.5,Ligue 1,2021-2022,14635757597311544
61,Milan,2,11.0,10,2,0,0,1,11.0,0.23,2.0,0.18,61,143,42.7,304,39,39.5,37.3,65,35.4,39.1,75,7,9.3,11,1.0,15.4,Serie A,2021-2022,59378513948613436
62,Monaco,1,12.0,16,3,0,2,1,14.0,0.31,-1.0,-0.08,48,145,33.1,269,42,38.3,36.5,76,55.3,46.4,72,5,6.9,8,0.67,17.1,Ligue 1,2021-2022,79093238158793616
63,Montpellier,2,12.0,19,0,1,2,1,15.7,0.29,-2.3,-0.19,83,193,43.0,333,66,41.4,36.2,111,49.5,41.6,96,9,9.4,3,0.25,12.8,Ligue 1,2021-2022,32434714471076965
64,Nantes,1,12.0,14,0,0,3,0,13.5,0.28,-0.5,-0.04,61,210,29.0,264,34,49.6,45.2,88,89.8,64.3,84,8,9.5,4,0.33,14.0,Ligue 1,2021-2022,25802633648495862
65,Napoli,2,11.0,3,0,0,1,0,4.7,0.17,1.7,0.16,42,85,49.4,232,36,29.3,31.9,58,29.3,30.2,77,11,14.3,1,0.09,9.7,Serie A,2021-2022,10516137814401134
66,Newcastle Utd,2,10.0,23,3,0,1,0,17.2,0.29,-5.8,-0.58,84,215,39.1,223,30,65.5,49.2,95,72.6,56.3,86,6,7.0,4,0.4,13.9,Premier League,2021-2022,29528772732587842
67,Nice,1,12.0,9,2,0,0,0,12.0,0.28,3.0,0.25,50,130,38.5,231,43,38.1,34.6,68,61.8,48.0,81,5,6.2,7,0.58,14.8,Ligue 1,2021-2022,11720969662561653
68,Norwich City,1,10.0,25,2,0,3,2,20.3,0.36,-2.7,-0.27,77,199,38.7,339,57,45.7,39.9,85,51.8,44.0,94,5,5.3,5,0.5,12.8,Premier League,2021-2022,42809968147687487
69,Osasuna,2,12.0,15,1,0,4,1,11.4,0.25,-2.6,-0.22,136,295,46.1,269,24,79.2,55.5,90,91.1,63.8,136,10,7.4,16,1.33,15.8,La Liga,2021-2022,83352675823776457
70,Paris S-G,2,12.0,11,0,0,2,0,11.3,0.29,0.3,0.02,30,48,62.5,252,66,13.5,25.4,85,16.5,22.9,94,7,7.4,12,1.0,15.3,Ligue 1,2021-2022,11177590892093073
71,Rayo Vallecano,2,12.0,12,4,0,0,1,13.8,0.28,2.8,0.25,63,211,29.9,250,54,57.2,46.5,87,78.2,59.3,88,7,8.0,3,0.27,10.6,La Liga,2021-2022,75203699329351977
72,RB Leipzig,1,10.0,10,2,0,1,0,12.5,0.33,2.5,0.25,65,141,46.1,274,43,41.2,37.0,61,45.9,39.9,72,3,4.2,15,1.5,17.8,Bundesliga,2021-2022,68159208261559796
73,Real Madrid,1,11.0,12,1,0,0,0,11.5,0.28,-0.5,-0.05,30,90,33.3,282,54,23.4,31.5,61,39.3,38.5,92,10,10.9,7,0.64,13.8,La Liga,2021-2022,29627131003986350
74,Real Sociedad,2,12.0,10,2,1,1,0,9.7,0.24,-0.3,-0.02,94,180,52.2,319,47,42.9,36.9,70,61.4,49.1,107,11,10.3,12,1.0,14.7,La Liga,2021-2022,57299950304530590
75,Reims,1,12.0,17,2,0,3,0,13.6,0.28,-3.4,-0.28,56,164,34.1,294,61,42.5,39.4,78,50.0,42.2,113,7,6.2,14,1.17,16.2,Ligue 1,2021-2022,67732085073987538
76,Rennes,2,12.0,11,0,0,2,0,11.1,0.33,0.1,0.01,54,118,45.8,297,69,23.6,28.9,83,57.8,47.2,127,9,7.1,7,0.58,14.3,Ligue 1,2021-2022,96819424452761337
77,Roma,1,11.0,12,1,1,1,0,12.1,0.27,0.1,0.01,64,123,52.0,246,40,41.5,36.3,70,30.0,32.5,81,3,3.7,7,0.64,13.1,Serie A,2021-2022,764736481564168
78,Saint-Étienne,2,12.0,26,1,2,2,1,20.8,0.33,-4.2,-0.35,70,180,38.9,268,57,42.9,38.3,93,69.9,53.7,89,5,5.6,12,1.0,15.5,Ligue 1,2021-2022,56226069621228236
79,Salernitana,1,11.0,23,1,0,4,1,16.1,0.27,-5.9,-0.53,57,156,36.5,177,40,51.4,43.9,90,72.2,53.4,94,5,5.3,6,0.55,14.0,Serie A,2021-2022,63444195793016658
80,Sampdoria,1,11.0,23,1,1,3,1,18.8,0.32,-3.2,-0.29,94,203,46.3,282,39,51.4,41.1,83,69.9,51.0,85,8,9.4,5,0.45,14.9,Serie A,2021-2022,89407679695143145
81,Sassuolo,1,11.0,15,3,0,1,0,11.8,0.25,-3.2,-0.29,95,173,54.9,399,45,36.6,34.1,79,34.2,29.7,105,10,9.5,2,0.18,11.6,Serie A,2021-2022,79200252522790650
82,Sevilla,2,11.0,7,0,0,0,0,7.8,0.22,0.8,0.07,48,129,37.2,288,46,32.3,33.9,71,50.7,44.0,93,8,8.6,14,1.27,15.5,La Liga,2021-2022,22702270477938803
83,Southampton,1,10.0,12,0,0,2,0,13.1,0.36,1.1,0.11,48,154,31.2,234,44,42.7,39.0,72,75.0,56.6,95,15,15.8,2,0.2,12.8,Premier League,2021-2022,21037626007536306
84,Spezia,2,11.0,26,3,0,3,1,23.0,0.34,-2.0,-0.18,56,157,35.7,339,57,37.5,36.9,68,44.1,39.4,82,6,7.3,11,1.0,16.0,Serie A,2021-2022,41730244034743257
85,Strasbourg,1,12.0,16,2,0,3,1,17.0,0.34,2.0,0.17,63,144,43.8,234,41,45.7,38.2,86,43.0,40.5,87,8,9.2,6,0.5,14.5,Ligue 1,2021-2022,92234479374253707
86,Stuttgart,2,10.0,19,1,1,4,0,15.9,0.26,-3.1,-0.31,42,84,50.0,229,46,31.0,31.2,81,16.0,24.0,92,6,6.5,9,0.9,13.9,Bundesliga,2021-2022,81761661302668293
87,Torino,1,11.0,11,2,0,1,0,11.5,0.33,0.5,0.05,91,288,31.6,350,39,66.0,52.9,60,95.0,74.8,55,6,10.9,9,0.82,15.2,Serie A,2021-2022,21846272194836439
88,Tottenham,1,10.0,16,1,0,3,1,15.1,0.34,0.1,0.01,61,140,43.6,172,31,51.2,40.1,88,59.1,44.1,99,3,3.0,4,0.4,13.9,Premier League,2021-2022,22006624071753704
89,Troyes,1,12.0,17,2,0,5,0,17.3,0.3,0.3,0.03,113,244,46.3,338,63,51.8,41.6,105,65.7,47.1,128,10,7.8,7,0.58,12.8,Ligue 1,2021-2022,57069542099991496
90,Udinese,1,11.0,16,3,0,3,1,13.0,0.24,-2.0,-0.18,65,152,42.8,218,23,49.1,40.0,98,45.9,39.1,74,3,4.1,2,0.18,11.5,Serie A,2021-2022,48393495896639342
91,Union Berlin,1,10.0,15,1,0,0,1,13.9,0.34,-0.1,-0.01,62,184,33.7,298,51,46.6,39.8,72,62.5,46.2,84,10,11.9,7,0.7,14.0,Bundesliga,2021-2022,71630543971501382
92,Valencia,2,12.0,17,2,0,2,1,14.0,0.26,-2.0,-0.17,90,208,43.3,246,50,57.7,44.4,84,78.6,58.4,99,6,6.1,2,0.17,12.4,La Liga,2021-2022,65158650443085242
93,Venezia,3,11.0,17,2,0,0,1,19.4,0.35,3.4,0.31,53,123,43.1,273,66,34.1,34.0,84,35.7,33.5,114,9,7.9,4,0.36,12.2,Serie A,2021-2022,94916874898547392
94,Villarreal,2,11.0,12,2,0,0,1,9.9,0.3,-1.1,-0.1,34,89,38.2,316,53,19.3,30.4,81,34.6,36.6,118,12,10.2,10,0.91,17.0,La Liga,2021-2022,63335634096533483
95,Watford,2,10.0,18,1,1,3,1,15.9,0.35,-1.1,-0.11,78,180,43.3,234,47,50.9,43.3,93,65.6,52.7,99,6,6.1,8,0.8,15.9,Premier League,2021-2022,73743918793554398
96,West Ham,1,10.0,11,0,0,1,0,10.5,0.29,-0.5,-0.05,59,130,45.4,178,48,45.5,40.3,72,68.1,51.8,90,6,6.7,1,0.1,11.8,Premier League,2021-2022,57680956417459581
97,Wolfsburg,1,10.0,12,1,0,1,0,12.0,0.34,0.0,0.0,71,142,50.0,332,36,31.6,33.3,72,51.4,43.2,77,4,5.2,8,0.8,14.9,Bundesliga,2021-2022,85159484018358879
98,Wolves,1,10.0,10,3,0,0,0,10.1,0.23,1.1,0.12,42,107,39.3,168,50,44.0,41.6,62,53.2,44.3,66,6,9.1,10,1.11,16.2,Premier League,2021-2022,24001928852251903
1,Alavés,2,38.0,57,3,0,6,0,54.9,0.38,-2.1,-0.05,333,658,50.6,796,113,58.4,45.0,307,62.9,47.3,337,32,9.5,23,0.61,14.7,La Liga,2020-2021,37745278530914180
2,Angers,1,38.0,58,7,0,6,1,49.9,0.33,-7.1,-0.19,177,512,34.6,720,210,43.9,38.9,269,72.9,52.8,318,24,7.5,11,0.29,13.1,Ligue 1,2020-2021,66587352409382849
3,Arminia,1,34.0,52,5,0,6,1,52.1,0.29,1.1,0.03,488,1038,47.0,1720,116,51.1,43.4,246,64.6,51.6,338,28,8.3,34,1.0,15.3,Bundesliga,2020-2021,60726784699523350
4,Arsenal,3,38.0,39,2,0,5,4,41.4,0.31,6.4,0.17,116,352,33.0,998,187,21.6,28.5,236,57.6,46.0,334,30,9.0,23,0.61,14.5,Premier League,2020-2021,5838645288327307
5,Aston Villa,1,38.0,46,5,2,4,1,52.4,0.27,7.4,0.2,289,728,39.7,1041,162,52.7,42.5,254,70.5,52.9,393,33,8.4,21,0.55,13.1,Premier League,2020-2021,14348480492050895
6,Atalanta,2,38.0,47,5,0,5,1,40.9,0.31,-5.1,-0.14,166,379,43.8,869,151,30.6,33.4,174,64.9,50.8,223,14,6.3,38,1.0,16.5,Serie A,2020-2021,87465877057901989
7,Athletic Club,2,38.0,42,5,1,8,1,36.7,0.29,-4.3,-0.11,242,542,44.6,815,207,41.7,38.7,272,74.3,56.5,377,22,5.8,24,0.63,14.3,La Liga,2020-2021,4823083458145023
8,Atlético Madrid,1,38.0,25,1,0,6,3,31.8,0.25,9.8,0.26,269,620,43.4,714,122,59.5,44.6,289,67.5,50.2,327,19,5.8,18,0.47,15.3,La Liga,2020-2021,74713976168286555
9,Augsburg,1,34.0,55,6,0,4,3,51.9,0.27,0.9,0.03,256,653,39.2,1101,215,43.4,37.5,298,58.7,46.8,401,26,6.5,26,0.76,14.4,Bundesliga,2020-2021,82828683183786310
10,Barcelona,2,38.0,38,5,1,5,2,35.8,0.26,-0.2,-0.01,160,288,55.6,1065,185,22.0,29.1,209,25.8,29.9,238,23,9.7,26,0.68,16.7,La Liga,2020-2021,81744823723090567
11,Bayern Munich,2,34.0,44,1,0,6,0,46.1,0.34,2.1,0.06,240,394,60.9,1158,191,30.4,31.9,194,21.6,29.0,238,6,2.5,42,1.24,16.3,Bundesliga,2020-2021,7510926916741648
12,Benevento,2,38.0,75,4,0,12,6,66.1,0.36,-2.9,-0.08,250,673,37.1,988,182,50.8,40.4,279,61.3,45.9,388,39,10.1,22,0.58,14.7,Serie A,2020-2021,38159059008947812
