Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,League,Season,PlayerID
121,Mathieu Michel,FRA,GK,Angers,25,1991,7,6,598,6.6,13,1.96,27,17,59.3,1,2,4,1,16.7,2,2,0,0,0.0,Ligue 1,2017-2018,10021463440
122,Simon Mignolet,BEL,GK,Liverpool,29,1988,19,19,1710,19.0,24,1.26,55,32,60.0,10,7,2,7,36.8,3,2,1,0,33.3,Premier League,2017-2018,96478978464
123,Vanja Milinković-Savić,SRB,GK,Torino,20,1997,1,1,90,1.0,1,1.00,4,3,75.0,1,0,0,0,0.0,0,0,0,0,0,Serie A,2017-2018,87001047979
124,Antonio Mirante,ITA,GK,Bologna,34,1983,33,33,2970,33.0,46,1.39,143,100,69.2,10,5,18,7,21.2,3,2,0,1,0.0,Serie A,2017-2018,32759633101
125,Jessy Moulin,FRA,GK,Saint-Étienne,31,1986,4,3,305,3.4,6,1.77,27,22,81.5,1,0,2,1,33.3,1,1,0,0,0.0,Ligue 1,2017-2018,60461616047
126,Florian Müller,GER,GK,Mainz 05,19,1997,5,5,450,5.0,7,1.40,19,11,63.2,1,1,3,1,20.0,1,0,1,0,100.0,Bundesliga,2017-2018,72488991060
127,Yvon Mvogo,SUI,GK,RB Leipzig,23,1994,1,1,90,1.0,1,1.00,4,3,75.0,0,0,1,0,0.0,0,0,0,0,0,Bundesliga,2017-2018,46777177639
128,Boaz Myhill,WAL,GK,West Brom,34,1982,1,1,90,1.0,1,1.00,3,2,66.7,0,1,0,0,0.0,0,0,0,0,0,Premier League,2017-2018,63497891731
129,Keylor Navas,CRC,GK,Real Madrid,30,1986,27,27,2430,27.0,31,1.15,112,84,74.1,16,7,4,7,25.9,4,2,2,0,50.0,La Liga,2017-2018,59987344731
130,Neto,BRA,GK,Valencia,28,1989,33,33,2970,33.0,33,1.00,150,120,80.0,18,7,8,10,30.3,5,3,2,0,40.0,La Liga,2017-2018,58153541025
131,Manuel Neuer,GER,GK,Bayern Munich,31,1986,3,3,270,3.0,2,0.67,8,6,75.0,2,0,1,2,66.7,0,0,0,0,0,Bundesliga,2017-2018,52917415539
132,Alexander Nübel,GER,GK,Schalke 04,20,1996,1,0,45,0.5,0,0.00,2,2,100.0,0,0,0,0,0,0,0,0,0,0,Bundesliga,2017-2018,74365399921
133,Jan Oblak,SVN,GK,Atlético Madrid,24,1993,37,37,3330,37.0,22,0.59,126,106,83.3,22,10,5,22,59.5,4,1,3,0,75.0,La Liga,2017-2018,35380843859
134,Oier Olazábal,ESP,GK,Levante,27,1989,26,26,2340,26.0,39,1.50,117,86,70.9,9,7,10,7,26.9,6,5,0,1,0.0,La Liga,2017-2018,36250097583
135,David Ospina,COL,GK,Arsenal,28,1988,5,4,381,4.2,3,0.71,13,10,76.9,3,0,1,2,50.0,0,0,0,0,0,Premier League,2017-2018,54204797237
136,Alexandre Oukidja,ALG,GK,Strasbourg,29,1988,17,16,1457,16.2,29,1.79,70,45,64.3,3,5,8,2,12.5,5,4,1,0,20.0,Ligue 1,2017-2018,3391590139
137,Ramazan Özcan,AUT,GK,Leverkusen,33,1984,1,1,90,1.0,4,4.00,7,3,42.9,0,0,1,0,0.0,1,0,1,0,100.0,Bundesliga,2017-2018,99753952288
138,Fernando Pacheco,ESP,GK,Alavés,25,1992,38,37,3357,37.3,50,1.34,175,134,75.4,15,2,20,12,32.4,11,7,3,1,30.0,La Liga,2017-2018,23129159765
139,Costel Pantilimon,ROU,GK,La Coruña,30,1987,6,6,540,6.0,9,1.50,23,16,65.2,3,0,3,1,16.7,1,1,0,0,0.0,La Liga,2017-2018,35903202162
140,Jiří Pavlenka,CZE,GK,Werder Bremen,25,1992,34,34,3060,34.0,40,1.18,157,119,75.8,10,12,12,8,23.5,4,2,1,1,33.3,Bundesliga,2017-2018,38343558181
141,Gianluca Pegolo,ITA,GK,Sassuolo,36,1981,2,1,104,1.2,1,0.87,5,5,80.0,0,0,1,0,0.0,0,0,0,0,0,Serie A,2017-2018,89578653380
142,Yohann Pelé,FRA,GK,Marseille,34,1982,10,7,738,8.2,10,1.22,26,18,61.5,4,3,1,3,42.9,0,0,0,0,0,Ligue 1,2017-2018,56133290146
143,Mattia Perin,ITA,GK,Genoa,24,1992,37,37,3330,37.0,42,1.14,167,131,77.2,11,8,18,12,32.4,4,4,0,0,0.0,Serie A,2017-2018,91910501057
144,Jordan Pickford,ENG,GK,Everton,23,1994,38,38,3420,38.0,58,1.53,175,119,68.6,13,10,15,10,26.3,5,3,1,1,25.0,Premier League,2017-2018,91019362762
145,Carlo Pinsoglio,ITA,GK,Juventus,27,1990,1,0,28,0.3,1,3.21,2,1,50.0,0,0,0,0,0,0,0,0,0,0,Serie A,2017-2018,15345623228
146,Julian Pollersbeck,GER,GK,Hamburger SV,22,1994,10,10,900,10.0,15,1.50,47,31,68.1,4,1,5,1,10.0,0,0,0,0,0,Bundesliga,2017-2018,82601758666
147,Nick Pope,ENG,GK,Burnley,25,1992,35,34,3115,34.6,35,1.01,147,114,78.2,13,11,11,11,32.4,5,3,1,1,25.0,Premier League,2017-2018,83244754799
148,Andrés Prieto,ESP,GK,Málaga,23,1993,4,4,360,4.0,10,2.50,18,10,55.6,0,0,4,0,0.0,2,2,0,0,0.0,La Liga,2017-2018,70150978755
149,Jérôme Prior,FRA,GK,Bordeaux,21,1995,2,2,180,2.0,3,1.50,8,5,62.5,0,0,2,0,0.0,0,0,0,0,0,Ligue 1,2017-2018,60327713377
150,Christian Puggioni,ITA,GK,Sampdoria,36,1981,9,9,810,9.0,12,1.33,49,40,81.6,5,2,2,5,55.6,3,3,0,0,0.0,Serie A,2017-2018,56710774831
151,Christian Puggioni,ITA,GK,Benevento,36,1981,14,14,1179,13.1,26,1.98,59,37,64.4,3,1,9,2,14.3,6,5,0,1,0.0,Serie A,2017-2018,56710774831
152,Rafael,BRA,GK,Cagliari,35,1982,10,8,794,8.8,11,1.25,39,28,74.4,4,2,3,1,12.5,1,1,0,0,0.0,Serie A,2017-2018,14470939368
153,Toño Ramírez,ESP,GK,Real Sociedad,30,1986,4,3,315,3.5,6,1.71,11,5,45.5,1,0,2,2,66.7,0,0,0,0,0,La Liga,2017-2018,80622829048
154,Pepe Reina,ESP,GK,Napoli,34,1982,37,37,3330,37.0,29,0.78,98,70,72.4,28,6,3,18,48.6,2,2,0,0,0.0,Serie A,2017-2018,37977519007
