Rk,Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,League,Season,TeamID
26,Düsseldorf,2,34,34,3060,34.0,67,1.97,171,111,62.6,6,12,16,4,11.8,5,3,2,0,40.0,Bundesliga,2019-2020,6414184432322702
27,Eibar,2,38,38,3420,38.0,56,1.47,127,76,59.1,11,9,18,11,28.9,6,4,2,0,33.3,La Liga,2019-2020,67267904110326262
28,Eint Frankfurt,3,34,34,3060,34.0,60,1.76,172,117,66.9,13,6,15,5,14.7,3,3,0,0,0.0,Bundesliga,2019-2020,37929111009288632
29,Espanyol,2,38,38,3412,38.0,58,1.53,157,105,66.9,5,10,23,6,15.8,7,6,1,0,14.3,La Liga,2019-2020,71314269182841176
30,Everton,1,38,38,3420,38.0,56,1.47,145,95,63.4,13,10,15,9,23.7,4,3,0,1,0.0,Premier League,2019-2020,57482013681231466
31,Fiorentina,3,38,38,3420,38.0,48,1.26,150,110,74.0,12,13,13,11,28.9,11,9,2,0,18.2,Serie A,2019-2020,24325362613855847
32,Freiburg,3,34,34,3060,34.0,47,1.38,188,140,76.6,13,9,12,7,20.6,4,3,0,1,0.0,Bundesliga,2019-2020,17577284562417651
33,Genoa,2,38,38,3420,38.0,73,1.92,188,124,64.9,10,9,19,7,18.4,9,7,0,2,0.0,Serie A,2019-2020,87033800759594150
34,Getafe,1,38,38,3420,38.0,37,0.97,102,70,68.6,14,12,12,15,39.5,6,5,1,0,16.7,La Liga,2019-2020,23789167582387071
35,Granada,2,38,38,3420,38.0,45,1.18,149,107,72.5,16,8,14,13,34.2,5,4,1,0,20.0,La Liga,2019-2020,45137124328012624
36,Hellas Verona,2,38,38,3420,38.0,51,1.34,161,115,73.9,12,13,13,10,26.3,9,9,0,0,0.0,Serie A,2019-2020,45227680351245381
37,Hertha BSC,3,34,34,3058,34.0,59,1.74,162,112,67.9,11,8,15,9,26.5,7,7,0,0,0.0,Bundesliga,2019-2020,59737400018465050
38,Hoffenheim,2,34,34,3060,34.0,53,1.56,163,117,71.2,15,7,12,8,23.5,8,6,2,0,25.0,Bundesliga,2019-2020,29322720181807625
39,Inter,2,38,38,3420,38.0,36,0.95,114,82,71.1,24,10,4,14,36.8,4,3,1,0,25.0,Serie A,2019-2020,53198597771575973
40,Juventus,3,38,38,3420,38.0,43,1.13,152,118,77.6,26,5,7,12,31.6,12,9,1,2,10.0,Serie A,2019-2020,19371054131726661
