Rk,Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,League,Season,TeamID
25,Dijon,33,25.7,38,3420,90,100,38.0,418,82.0,265.0,150,21,179,0.55,25,73,-48,-1.26,31.5,75.3,-43.8,-1.15,Ligue 1,2020-2021,59239312409540653
26,Dortmund,26,25.6,34,3060,90,100,34.0,374,83.0,234.0,139,19,163,1.88,75,46,29,0.85,68.6,40.4,28.3,0.83,Bundesliga,2020-2021,6921931827204601
27,Eibar,30,28.2,38,3420,90,100,38.0,418,82.0,266.0,149,21,266,0.79,29,52,-23,-0.61,41.5,47.0,-5.6,-0.15,La Liga,2020-2021,67267904110326262
28,Eint Frankfurt,25,27.2,34,3060,90,100,34.0,374,84.0,238.0,136,18,165,1.76,69,53,16,0.47,56.1,48.4,7.7,0.23,Bundesliga,2020-2021,37929111009288632
29,Elche,30,28.1,38,3420,90,100,38.0,418,82.0,267.0,152,21,298,0.95,34,55,-21,-0.55,30.5,58.4,-27.9,-0.73,La Liga,2020-2021,30674441257210497
30,Everton,29,26.3,38,3420,90,100,38.0,418,85.0,310.0,106,19,206,1.55,47,48,-1,-0.03,47.2,52.0,-4.8,-0.13,Premier League,2020-2021,57482013681231466
31,Fiorentina,30,26.6,38,3420,90,100,38.0,418,82.0,256.0,158,19,287,1.05,47,59,-12,-0.32,45.2,55.1,-9.9,-0.26,Serie A,2020-2021,24325362613855847
32,Freiburg,24,26.2,34,3060,90,100,34.0,374,82.0,223.0,152,19,151,1.32,52,52,0,0.0,46.2,53.7,-7.5,-0.22,Bundesliga,2020-2021,17577284562417651
33,Fulham,28,25.2,38,3420,90,100,38.0,418,85.0,306.0,110,19,203,0.74,27,53,-26,-0.68,41.3,53.0,-11.7,-0.31,Premier League,2020-2021,19227944656237519
34,Genoa,34,28.3,38,3420,90,100,38.0,418,79.0,238.0,180,24,272,1.11,47,58,-11,-0.29,37.8,54.5,-16.8,-0.44,Serie A,2020-2021,87033800759594150
35,Getafe,31,26.7,38,3420,90,100,38.0,418,83.0,270.0,141,19,228,1.0,28,43,-15,-0.39,32.7,40.3,-7.7,-0.2,La Liga,2020-2021,23789167582387071
36,Granada,34,27.4,38,3420,90,100,38.0,418,80.0,243.0,176,24,222,1.21,47,65,-18,-0.47,39.5,53.7,-14.2,-0.37,La Liga,2020-2021,45137124328012624
37,Hellas Verona,32,26.2,38,3420,90,100,38.0,418,79.0,250.0,170,26,281,1.18,43,48,-5,-0.13,43.5,50.3,-6.8,-0.18,Serie A,2020-2021,45227680351245381
38,Hertha BSC,32,25.4,34,3060,90,100,34.0,374,81.0,227.0,149,22,157,1.03,41,52,-11,-0.32,42.4,47.0,-4.6,-0.13,Bundesliga,2020-2021,59737400018465050
39,Hoffenheim,30,25.7,34,3060,90,100,34.0,374,83.0,241.0,130,21,166,1.26,52,54,-2,-0.06,51.8,53.3,-1.6,-0.05,Bundesliga,2020-2021,29322720181807625
40,Huesca,27,28.0,38,3420,90,100,38.0,418,82.0,246.0,171,21,215,0.89,34,53,-19,-0.5,35.3,44.3,-9.0,-0.24,La Liga,2020-2021,16593090704373522
41,Inter,25,27.7,38,3420,90,100,38.0,418,83.0,257.0,162,19,251,2.39,89,35,54,1.42,74.8,38.6,36.2,0.95,Serie A,2020-2021,53198597771575973
42,Juventus,30,27.7,38,3420,90,100,38.0,418,83.0,268.0,146,20,265,2.05,77,38,39,1.03,74.2,38.2,36.0,0.95,Serie A,2020-2021,19371054131726661
43,Köln,28,24.9,36,3060,85,100,34.0,374,82.0,225.0,148,20,157,0.97,34,60,-26,-0.76,39.1,55.3,-16.2,-0.48,Bundesliga,2020-2021,39731782814123330
44,Lazio,30,29.4,38,3420,90,100,38.0,418,80.0,228.0,189,22,239,1.79,61,55,6,0.16,59.8,47.8,12.0,0.32,Serie A,2020-2021,90751438076496109
45,Leeds United,23,26.1,38,3420,90,100,38.0,418,83.0,312.0,107,25,209,1.55,62,54,8,0.21,57.5,62.9,-5.4,-0.14,Premier League,2020-2021,34570153325607342
46,Leicester City,27,26.5,38,3420,90,100,38.0,418,85.0,320.0,99,22,216,1.74,68,50,18,0.47,56.0,47.7,8.3,0.22,Premier League,2020-2021,18776461863573874
