Rk,Squad,# Pl,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,League,Season,TeamID
62,Metz,36,38.0,12161,16352,74.4,251976,94083,4407,5267,83.7,5327,6501,81.9,2176,3924,55.5,25,27.4,-0.4,339,1111,242,97,1207,Ligue 1,2017-2018,14635757597311544
63,Milan,23,38.0,17744,21543,82.4,350431,112992,6839,7723,88.6,8115,9226,88.0,2626,4110,63.9,28,36.3,-0.3,458,1456,380,114,1593,Serie A,2017-2018,59378513948613436
64,Monaco,32,38.0,13858,17911,77.4,274468,94915,5150,6044,85.2,6341,7531,84.2,2105,3645,57.8,39,40.2,15.8,352,1225,287,72,1388,Ligue 1,2017-2018,79093238158793616
65,Montpellier,23,38.0,13023,17141,76.0,268322,100006,4886,5740,85.1,5444,6621,82.2,2420,4095,59.1,26,30.6,-2.6,375,1176,267,92,1302,Ligue 1,2017-2018,32434714471076965
66,Nantes,30,38.0,11474,15828,72.5,220625,91826,4868,5854,83.2,4554,5718,79.6,1765,3538,49.9,18,28.5,-4.5,356,1023,278,108,1172,Ligue 1,2017-2018,25802633648495862
67,Napoli,23,38.0,24985,29004,86.1,425699,132297,12878,14051,91.7,9018,10227,88.2,2679,3945,67.9,45,48.5,0.5,526,2095,465,85,2068,Serie A,2017-2018,10516137814401134
68,Newcastle Utd,27,38.0,11037,15257,72.3,220284,89385,4737,5597,84.6,4225,5304,79.7,1822,3706,49.2,29,30.6,-1.6,310,858,238,80,990,Premier League,2017-2018,29528772732587842
69,Nice,31,38.0,19266,22513,85.6,360758,109677,8028,8849,90.7,8419,9314,90.4,2473,3606,68.6,29,32.6,2.4,364,1345,222,57,1338,Ligue 1,2017-2018,11720969662561653
70,Paris S-G,26,38.0,22005,25194,87.3,385886,118894,10044,10973,91.5,9077,10013,90.7,2354,3237,72.7,69,65.0,10.0,463,1696,493,82,1854,Ligue 1,2017-2018,11177590892093073
71,RB Leipzig,23,34.0,14201,18205,78.0,261551,98862,6352,7437,85.4,5805,6994,83.0,1806,3163,57.1,43,39.3,3.7,364,1145,315,50,1432,Bundesliga,2017-2018,68159208261559796
72,Real Madrid,24,38.0,20155,23619,85.3,374486,116892,9116,10074,90.5,8225,9247,88.9,2602,3794,68.6,65,59.4,5.6,555,1749,548,140,1779,La Liga,2017-2018,29627131003986350
73,Real Sociedad,27,38.0,16400,20209,81.2,327792,104640,6001,6961,86.2,7773,8883,87.5,2472,3922,63.0,47,38.6,8.4,379,1293,338,111,1321,La Liga,2017-2018,57299950304530590
74,Rennes,28,38.0,13282,17389,76.4,266285,92182,4988,5880,84.8,5840,6952,84.0,2159,3862,55.9,31,32.1,-0.1,327,1180,206,67,1272,Ligue 1,2017-2018,96819424452761337
75,Roma,27,38.0,17296,21399,80.8,346453,119630,6494,7521,86.3,7857,9059,86.7,2769,4306,64.3,37,48.7,-4.7,492,1581,444,138,1812,Serie A,2017-2018,764736481564168
76,Saint-Étienne,30,38.0,14310,18272,78.3,280924,95924,5402,6348,85.1,6387,7458,85.6,2195,3697,59.4,28,32.9,-1.9,325,1129,249,69,1218,Ligue 1,2017-2018,56226069621228236
77,Sampdoria,27,38.0,16148,20144,80.2,300242,103556,6985,7924,88.1,6817,7916,86.1,2062,3673,56.1,33,32.8,0.2,317,1183,345,67,1496,Serie A,2017-2018,89407679695143145
