Rk,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,League,Season,TeamID
62,Montpellier,25,48.1,38.0,22154,2164,7135,10800,5573,740,20270,415,661,62.8,451,14,14073,69928,36605,1411,405,122,481,443,16302,13580,83.3,1588,Ligue 1,2018-2019,32434714471076965
63,Nantes,33,49.9,38.0,22183,2139,6908,10424,6187,811,20236,372,586,63.5,404,23,13403,65007,35941,1468,486,104,530,433,16271,13301,81.7,1695,Ligue 1,2018-2019,25802633648495862
64,Napoli,26,59.4,38.0,28652,2114,7296,14815,8430,1068,26920,418,707,59.1,457,25,21516,103545,59341,2620,806,198,380,351,23865,21121,88.5,2045,Serie A,2018-2019,10516137814401134
65,Newcastle Utd,24,40.4,38.0,20044,2517,7509,8757,4914,714,18272,292,501,58.3,320,26,11395,55253,28858,1102,390,90,461,459,13812,10819,78.3,1164,Premier League,2018-2019,29528772732587842
66,Nice,30,54.8,38.0,25615,2604,9177,13101,5039,730,23906,609,993,61.3,663,30,18449,84979,49733,1887,485,186,553,480,20207,17888,88.5,1339,Ligue 1,2018-2019,11720969662561653
67,Nîmes,23,45.6,38.0,20223,1937,6813,9183,5573,757,18165,447,738,60.6,485,13,12435,64599,37093,1411,445,131,558,457,14116,11435,81.0,1411,Ligue 1,2018-2019,83514802313158576
68,Nürnberg,27,42.3,34.0,17966,2496,7416,7901,3839,556,16335,299,498,60.0,321,22,11304,58749,32039,1060,316,65,403,318,12803,10598,82.8,1140,Bundesliga,2018-2019,10689243141507842
69,Paris S-G,30,63.4,38.0,29131,2001,7287,15788,8115,1275,27590,571,888,64.3,618,26,21811,106992,61810,2627,721,207,432,467,24425,21972,90.0,2129,Ligue 1,2018-2019,11177590892093073
70,Parma,31,37.3,38.0,18143,2944,7395,8038,3863,584,16288,364,656,55.5,396,26,10805,55745,29610,1004,324,93,411,402,12572,9996,79.5,1141,Serie A,2018-2019,62695319081093388
71,Rayo Vallecano,29,48.7,38.0,20898,2422,7382,9958,5013,697,19041,576,897,64.2,624,23,13907,73909,40651,1608,496,138,512,540,15259,12606,82.6,1318,La Liga,2018-2019,75203699329351977
72,RB Leipzig,23,49.3,34.0,21006,1699,5575,10516,6203,906,19199,365,594,61.4,385,16,13066,65786,36675,1594,518,160,516,408,15206,12507,82.3,1811,Bundesliga,2018-2019,68159208261559796
73,Real Madrid,27,60.0,38.0,28248,2150,7697,14485,7812,1217,26458,493,772,63.9,518,25,21293,101549,53423,2400,656,259,406,423,23349,20684,88.6,1777,La Liga,2018-2019,29627131003986350
74,Real Sociedad,30,51.6,38.0,23020,2695,8139,11454,5109,741,21105,439,729,60.2,474,12,15410,83730,45766,1661,522,99,492,495,17599,14700,83.5,1500,La Liga,2018-2019,57299950304530590
75,Reims,27,43.5,38.0,20086,2286,7747,9172,4522,699,18290,432,673,64.2,465,19,12712,66861,36632,1259,364,108,488,421,14356,11618,80.9,1384,Ligue 1,2018-2019,67732085073987538
76,Rennes,28,50.6,38.0,22211,1996,6918,11285,5553,797,20341,481,786,61.2,511,11,15224,77442,44149,1731,531,131,515,488,16728,14207,84.9,1569,Ligue 1,2018-2019,96819424452761337
77,Roma,26,51.7,38.0,23350,2391,7026,11302,6521,1087,21528,470,786,59.8,499,21,15866,79617,42452,1741,591,181,441,378,18068,15367,85.1,1940,Serie A,2018-2019,764736481564168
78,Saint-Étienne,29,52.6,38.0,23434,2201,7904,11549,5429,858,21515,382,620,61.6,407,13,15841,76295,41776,1608,445,151,455,434,17916,15174,84.7,1515,Ligue 1,2018-2019,56226069621228236
79,Sampdoria,24,55.3,38.0,25381,2672,7652,12710,6590,834,23577,380,614,61.9,400,24,17606,79645,44903,1828,552,112,404,467,20108,17188,85.5,1769,Serie A,2018-2019,89407679695143145
80,Sassuolo,29,54.0,38.0,24277,2463,7982,11994,5910,778,22404,460,755,60.9,494,32,17150,85861,47763,1828,504,157,470,411,18999,16500,86.8,1504,Serie A,2018-2019,79200252522790650
81,Schalke 04,32,45.4,34.0,18471,1918,6198,9236,4347,750,16869,381,619,61.6,425,20,11936,63855,36392,1375,417,115,463,410,13093,10900,83.3,1375,Bundesliga,2018-2019,24345039935475884
82,Sevilla,27,52.2,38.0,22894,2255,7245,10841,6249,1084,21054,416,675,61.6,449,15,15304,77301,43696,1868,549,206,408,419,17574,14612,83.1,1744,La Liga,2018-2019,22702270477938803
83,Southampton,30,43.9,38.0,20806,2238,6385,9770,5816,805,19042,357,603,59.2,396,25,12250,62298,32318,1408,445,150,458,394,14789,11581,78.3,1316,Premier League,2018-2019,21037626007536306
84,SPAL,28,50.6,38.0,22156,2658,7881,10440,5490,723,20255,351,570,61.6,375,15,14766,82624,46471,1796,611,128,471,427,16544,14319,86.6,1357,Serie A,2018-2019,73622612860183040
85,Strasbourg,26,50.2,38.0,22864,2275,7741,11326,5394,642,21013,372,623,59.7,405,13,15627,78857,43654,1581,532,77,520,424,17490,14802,84.6,1569,Ligue 1,2018-2019,92234479374253707
86,Stuttgart,26,45.9,34.0,19237,2198,6765,9090,4566,666,17526,272,454,59.9,296,13,11649,58759,31261,1190,361,80,434,340,13604,11309,83.1,1052,Bundesliga,2018-2019,81761661302668293
87,Torino,25,51.4,38.0,21765,2205,6804,10381,6018,906,19863,437,723,60.4,456,20,13837,74187,40506,1650,560,146,472,496,15611,12929,82.8,1487,Serie A,2018-2019,21846272194836439
88,Tottenham,28,58.9,38.0,27269,2664,8503,13334,7110,1021,25447,398,700,56.9,440,32,18685,89673,47124,1893,573,182,484,467,21784,18764,86.1,1654,Premier League,2018-2019,22006624071753704
89,Toulouse,29,48.0,38.0,21526,2461,7195,10448,5294,773,19670,462,737,62.7,505,16,13979,69885,39442,1511,444,118,525,515,15809,12939,81.8,1527,Ligue 1,2018-2019,94523000561782573
90,Udinese,31,42.4,38.0,19810,2442,7124,9468,4507,685,18003,400,637,62.8,423,9,12400,66578,36983,1390,452,137,446,439,13940,11534,82.7,1272,Serie A,2018-2019,48393495896639342
91,Valencia,25,47.1,38.0,21921,2204,7012,10554,5707,936,20135,395,652,60.6,419,20,14262,76176,40927,1687,488,166,457,357,16683,13821,82.8,1699,La Liga,2018-2019,65158650443085242
92,Valladolid,28,47.0,38.0,20457,2387,7015,9763,4953,662,18567,355,536,66.2,377,15,13019,66832,36310,1498,450,121,469,376,14972,12132,81.0,1390,La Liga,2018-2019,44089518275887893
93,Villarreal,26,48.3,38.0,21874,2267,6921,10838,5494,923,20137,443,720,61.5,477,27,14282,71281,38680,1647,491,178,437,351,16685,13853,83.0,1614,La Liga,2018-2019,63335634096533483
94,Watford,25,47.1,38.0,21627,2379,6872,10134,5749,961,19826,318,562,56.6,348,28,13148,61413,31945,1377,392,164,498,520,15695,12735,81.1,1338,Premier League,2018-2019,73743918793554398
95,Werder Bremen,24,52.2,34.0,22245,2258,6779,10969,5881,804,20567,271,431,62.9,292,12,14821,73895,40207,1644,510,111,427,372,16970,14504,85.5,1748,Bundesliga,2018-2019,59303898890876434
96,West Ham,26,48.7,38.0,22571,2423,7068,11033,6000,871,20710,403,639,63.1,427,30,14355,77445,40297,1655,530,166,451,501,16764,13900,82.9,1306,Premier League,2018-2019,57680956417459581
97,Wolfsburg,25,53.3,34.0,20957,2451,7628,9788,4850,747,19270,290,477,60.8,321,21,13763,71746,39345,1350,342,116,379,390,15703,13200,84.1,1566,Bundesliga,2018-2019,85159484018358879
